"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\main.js", "JavaScript", 10, 0, 0, 10
"Total", "-", 10, 0, 0, 10
