"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\main.js", "JavaScript", 1, 0, -2, -1
"Total", "-", 1, 0, -2, -1
